Distance(m),Elevation(m)
0,2.589885711669922
9.840347293446628,2.456753253936768
19.680694586893257,2.31639289855957
29.521041880339887,2.070125818252563
39.36138917378651,1.996808648109436
49.20173646723314,2.086836099624634
59.04208376067977,2.063820123672485
68.8824310541264,1.685361862182617
78.72277834757303,1.291585206985474
88.56312564101965,1.588778734207153
98.40347293446628,1.884246706962585
108.2438202279129,1.967266321182251
118.08416752135955,2.499460935592651
127.92451481480617,2.241281509399414
137.7648621082528,1.774519801139832
147.60520940169943,1.661733627319336
157.44555669514605,1.676657676696777
167.28590398859268,1.920381903648376
177.1262512820393,1.809589505195618
186.96659857548593,1.779731869697571
196.80694586893256,1.741329431533813
206.64729316237919,1.482909083366394
216.4876404558258,1.378418445587158
226.32798774927244,1.42070460319519
236.1683350427191,1.223629593849182
246.00868233616572,1.205414295196533
255.84902962961235,1.383407592773438
265.68937692305894,1.241966366767883
275.5297242165056,1.030848503112793
285.3700715099522,0.8940234780311584
295.21041880339885,0.9106188416481018
305.05076609684545,0.8839191198348999
314.8911133902921,0.8683457970619202
324.73146068373876,0.9090868830680847
334.57180797718536,0.8893989324569702
344.412155270632,0.9069596529006958
354.2525025640786,0.8350533246994019
364.09284985752527,0.8275400400161743
373.93319715097186,0.856701135635376
383.7735444444185,0.7797634601593018
393.6138917378651,0.8288070559501648
403.4542390313118,0.7697917222976685
413.29458632475837,0.8024505972862244
423.134933618205,0.8295176029205322
432.9752809116516,0.7028588652610779
442.8156282050983,0.7985652685165405
452.6559754985449,0.7414581775665283
462.49632279199153,0.7097594738006592
472.3366700854382,0.695375919342041
482.1770173788848,0.5154138207435608
492.01736467233144,0.4373401403427124
501.85771196577804,0.571344792842865
511.6980592592247,0.635903537273407
521.5384065526713,0.569114625453949
531.3787538461179,0.5065928101539612
541.2191011395646,0.5589767694473267
551.0594484330112,0.5637704730033875
560.8997957264578,0.6093055605888367
570.7401430199044,0.6143638491630554
580.5804903133511,0.5619624853134155
590.4208376067977,0.5809707641601562
600.2611849002443,0.4905014336109161
610.1015321936909,0.526208221912384
619.9418794871376,0.5440723299980164
629.7822267805842,0.5046163201332092
639.6225740740308,0.5264725089073181
649.4629213674775,0.429276704788208
659.3032686609241,0.4295293688774109
669.1436159543707,0.41483274102211
678.9839632478173,0.3566954433917999
688.824310541264,0.3782428205013275
698.6646578347106,0.2544480860233307
708.5050051281572,0.2184773981571198
718.3453524216038,0.2116979956626892
728.1856997150505,0.1849615722894669
738.0260470084971,0.2143451273441315
747.8663943019437,0.2230022996664047
757.7067415953903,0.2106991857290268
767.547088888837,0.2423065751791
777.3874361822836,0.2130553424358368
787.2277834757302,0.2166888415813446
797.068130769177,0.2298000454902649
806.9084780626235,0.2640106976032257
816.7488253560701,0.4640237092971802
826.5891726495167,0.5514025092124939
836.4295199429635,0.5674005150794983
846.26986723641,0.5902916789054871
856.1102145298566,0.5071377158164978
865.9505618233032,0.593530535697937
875.79090911675,0.657782256603241
885.6312564101966,0.6192134618759155
895.4716037036432,0.5867407917976379
905.3119509970898,0.5784767270088196
915.1522982905365,0.6381059288978577
924.9926455839831,0.664849042892456
934.8329928774297,0.6297866106033325
944.6733401708764,0.6371333003044128
954.513687464323,0.6478701829910278
964.3540347577696,0.7148141860961914
974.1943820512162,0.8479694128036499
984.0347293446629,0.9387767910957336
993.8750766381095,1.064866185188293
1003.7154239315561,0.9065346121788025
1013.5557712250027,0.9007595777511597
1023.3961185184494,0.971886157989502
1033.2364658118959,1.047817349433899
1043.0768131053426,1.114366054534912
1052.9171603987893,1.165767431259155
1062.7575076922358,1.115011811256409
1072.5978549856825,1.123455166816711
1082.4382022791292,1.217154502868652
1092.2785495725757,1.294188380241394
1102.1188968660224,1.222116231918335
1111.959244159469,1.336410641670227
1121.7995914529156,1.347740530967712
1131.6399387463623,1.657191276550293
1141.4802860398088,1.577932000160217
1151.3206333332555,1.430476546287537
1161.1609806267022,1.492580890655518
1171.0013279201487,1.435754776000977
1180.8416752135954,1.743213534355164
1190.6820225070421,1.698315143585205
1200.5223698004886,1.480438709259033
1210.3627170939353,1.329546570777893
1220.2030643873818,1.31903600692749
1230.0434116808285,1.362490773200989
1239.8837589742752,1.23453962802887
1249.7241062677217,1.179879307746887
1259.5644535611684,1.328828454017639
1269.4048008546151,1.428523898124695
1279.2451481480616,1.449063420295715
1289.0854954415083,1.286059021949768
1298.925842734955,1.262208580970764
1308.7661900284015,1.435759544372559
1318.6065373218482,1.422157526016235
1328.4468846152947,1.436989665031433
1338.2872319087414,1.497583031654358
1348.1275792021881,1.75221860408783
1357.9679264956346,1.777016639709473
1367.8082737890813,1.666337013244629
1377.648621082528,1.459633231163025
1387.4889683759745,1.704567551612854
1397.3293156694212,1.764552474021912
1407.1696629628677,1.683738589286804
1417.0100102563144,1.437795758247375
1426.8503575497612,1.494963049888611
1436.6907048432076,1.503542423248291
1446.5310521366544,1.298756957054138
1456.371399430101,1.257359266281128
1466.2117467235475,1.199769854545593
1476.0520940169943,1.203749179840088
1485.892441310441,0.9949323534965515
1495.7327886038875,0.868949830532074
1505.5731358973342,0.844136118888855
1515.4134831907807,0.938755452632904
1525.2538304842274,0.7771294713020325
1535.094177777674,0.4817261099815369
1544.9345250711206,0.4362930655479431
1554.7748723645673,0.364545613527298
1564.615219658014,0.6067154407501221
1574.4555669514605,0.873121976852417
1584.2959142449072,0.9359964728355408
1594.136261538354,1.030939340591431
1603.9766088318004,1.263924837112427
1613.816956125247,1.359064221382141
1623.6573034186936,1.267102003097534
1633.4976507121403,1.397186875343323
